eligibility_rule_id,cycle_id,external_applicants_status,citizenship_rule_text,citizenship_us_citizen,citizenship_permanent_resident,citizenship_international,eligible_years_text,first_year_eligible,sophomore_eligible,junior_eligible,senior_eligible,graduating_senior_eligible,min_gpa,enrolled_required,graduation_rule_text,institution_type_rule_text,two_year_institution_eligible,four_year_institution_eligible,degree_seeking_required,prior_research_status,raw_eligibility_text,other_rule_text,parse_status
1,1,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
2,2,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
3,3,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
4,4,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
5,5,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
6,6,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
7,7,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
8,8,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
9,9,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
10,10,yes,U.S. citizen or permanent resident,1,1,0,Undergraduate; â‰¥2 semesters completed; â‰¥1 semester remaining after summer,1,1,1,1,0,3.0,1,At least one undergraduate semester must remain after the summer experience.,,,,1,unknown,U.S. citizen or permanent resident; enrolled in a degree-granting program at a U.S. or territorial college or university; cumulative GPA 3.0 or higher; at least two semesters completed by summer and at least one semester remaining afterward; strong interest in a Ph.D.,At least two undergraduate semesters completed by summer; GPA >= 3.0; committed interest in Ph.D. study; full-time participation required.,reviewed
