institution_id,institution_slug,institution_name,institution_type,city,state_code,country_code,latitude,longitude,website_url
248,air-force-institute-of-tech-wright-patterson-afb-oh-us,Air Force Institute of Tech,,WRIGHT PATTERSON AFB,OH,US,,,
119,american-museum-natural-history-new-york-ny-us,American Museum Natural History,,NEW YORK,NY,US,,,
369,american-society-for-plant-biologists-surf-program-us,American Society for Plant Biologists SURF program.,,,,US,,,
378,amgen-scholars-us,Amgen Scholars,,,,US,,,
199,arizona-state-university-tempe-az-us,Arizona State University,,TEMPE,AZ,US,,,
197,associated-universities-inc-washington-dc-us,"Associated Universities, Inc.",,WASHINGTON,DC,US,,,
342,association-of-universities-for-research-in-astronomy-inc-us,"Association of Universities for Research in Astronomy, Inc.",,,,US,,,
250,auburn-university-auburn-al-us,Auburn University,,AUBURN,AL,US,,,
355,bcmp-scholars-summer-undergraduate-research-program-us,BCMP Scholars – Summer Undergraduate Research Program,,,,US,,,
313,baylor-university-waco-tx-us,Baylor University,,WACO,TX,US,,,
212,bigelow-laboratory-for-ocean-sciences-east-boothbay-me-us,Bigelow Laboratory for Ocean Sciences,,EAST BOOTHBAY,ME,US,,,
350,black-hills-state-university-us,Black Hills State University,,,,US,,,
86,board-of-regents-nshe-obo-university-of-nevada-reno-reno-nv-us,"Board of Regents, NSHE, obo University of Nevada, Reno",,RENO,NV,US,,,
352,boise-state-university-us,Boise State University,,,,US,,,
44,boise-state-university-boise-id-us,Boise State University,,BOISE,ID,US,,,
24,boston-university-boston-ma-us,Boston University,,Boston,MA,US,,,
25,boston-university-department-of-physics-boston-ma-us,Boston University Department of Physics,,Boston,MA,US,,,
26,boston-university-photonics-center-boston-ma-us,Boston University Photonics Center,,Boston,MA,US,,,
233,boyce-thompson-institute-plant-research-ithaca-ny-us,Boyce Thompson Institute Plant Research,,ITHACA,NY,US,,,
373,brain-research-institute-summer-undergraduate-research-experience-brisure-us,Brain Research Institute Summer Undergraduate Research Experience (BRISURE),,,,US,,,
39,brandeis-university-waltham-ma-us,Brandeis University,,Waltham,MA,US,,,
172,brigham-young-university-provo-ut-us,Brigham Young University,,PROVO,UT,US,,,
63,brown-university-providence-ri-us,Brown University,,PROVIDENCE,RI,US,,,
228,cuny-baruch-college-new-york-ny-us,CUNY Baruch College,,NEW YORK,NY,US,,,
333,cuny-borough-of-manhattan-community-college-new-york-ny-us,CUNY Borough of Manhattan Community College,,NEW YORK,NY,US,,,
41,cuny-brooklyn-college-brooklyn-ny-us,CUNY Brooklyn College,,BROOKLYN,NY,US,,,
83,cuny-city-college-new-york-ny-us,CUNY City College,,NEW YORK,NY,US,,,
181,cuny-college-of-staten-island-staten-island-ny-us,CUNY College of Staten Island,,STATEN ISLAND,NY,US,,,
191,cuny-graduate-school-university-center-new-york-ny-us,CUNY Graduate School University Center,,NEW YORK,NY,US,,,
288,cuny-new-york-city-college-of-technology-brooklyn-ny-us,CUNY New York City College of Technology,,BROOKLYN,NY,US,,,
319,cuny-queensborough-community-college-bayside-ny-us,CUNY Queensborough Community College,,BAYSIDE,NY,US,,,
187,cal-poly-pomona-foundation-inc-pomona-ca-us,"Cal Poly Pomona Foundation, Inc.",,POMONA,CA,US,,,
101,california-academy-of-sciences-san-francisco-ca-us,California Academy of Sciences,,SAN FRANCISCO,CA,US,,,
307,california-institute-of-technology-pasadena-ca-us,California Institute of Technology,,PASADENA,CA,US,,,
136,carnegie-institution-of-washington-washington-dc-us,Carnegie Institution of Washington,,WASHINGTON,DC,US,,,
135,carnegie-mellon-university-pittsburgh-pa-us,Carnegie Mellon University,,PITTSBURGH,PA,US,,,
202,catholic-university-of-america-washington-dc-us,Catholic University of America,,WASHINGTON,DC,US,,,
144,central-state-university-wilberforce-oh-us,Central State University,,WILBERFORCE,OH,US,,,
293,chapman-university-orange-ca-us,Chapman University,,ORANGE,CA,US,,,
282,chicago-horticultural-society-glencoe-il-us,Chicago Horticultural Society,,GLENCOE,IL,US,,,
103,chico-state-enterprises-chico-ca-us,Chico State Enterprises,,CHICO,CA,US,,,
108,clarkson-university-potsdam-ny-us,Clarkson University,,POTSDAM,NY,US,,,
173,clemson-university-clemson-sc-us,Clemson University,,CLEMSON,SC,US,,,
53,cleveland-state-university-cleveland-oh-us,Cleveland State University,,CLEVELAND,OH,US,,,
198,coe-college-cedar-rapids-ia-us,Coe College,,CEDAR RAPIDS,IA,US,,,
22,cold-spring-harbor-laboratory-cold-spring-harbor-ny-us,Cold Spring Harbor Laboratory,,COLD SPRING HARBOR,NY,US,,,
94,college-of-william-mary-virginia-institute-of-marine-science-gloucester-point-va-us,College of William & Mary Virginia Institute of Marine Science,,GLOUCESTER POINT,VA,US,,,
182,college-of-wooster-wooster-oh-us,College of Wooster,,WOOSTER,OH,US,,,
138,colorado-school-of-mines-golden-co-us,Colorado School of Mines,,GOLDEN,CO,US,,,
259,colorado-state-university-fort-collins-co-us,Colorado State University,,FORT COLLINS,CO,US,,,
232,columbia-university-irvington-ny-us,Columbia University,,Irvington,NY,US,,,
270,columbia-university-new-york-ny-us,Columbia University,,NEW YORK,NY,US,,,
246,columbia-university-palisades-ny-us,Columbia University,,Palisades,NY,US,,,
337,computing-research-association-washington-dc-us,Computing Research Association,,WASHINGTON,DC,US,,,
123,concord-university-athens-wv-us,Concord University,,ATHENS,WV,US,,,
364,cornell-nanoscale-science-technology-facility-research-experience-for-undergraduates-cnf-reu-program-us,Cornell NanoScale Science & Technology Facility Research Experience for Undergraduates (CNF REU) Program,,,,US,,,
111,cornell-university-ithaca-ny-us,Cornell University,,ITHACA,NY,US,,,
18,daad-german-host-universities-and-institutes-multiple-international-de,DAAD / German host universities and institutes,,Multiple,International,DE,,,
75,dartmouth-college-hanover-nh-us,Dartmouth College,,HANOVER,NH,US,,,
121,delaware-state-university-dover-de-us,Delaware State University,,DOVER,DE,US,,,
129,donald-danforth-plant-science-center-saint-louis-mo-us,Donald Danforth Plant Science Center,,SAINT LOUIS,MO,US,,,
377,donald-g-mcewen-memorial-summer-research-program-greehey-children-s-cancer-us,Donald G McEwen Memorial Summer Research Program - Greehey Children's Cancer,,,,US,,,
301,duke-university-durham-nc-us,Duke University,,Durham,NC,US,,,
98,east-texas-a-m-university-commerce-tx-us,EAST TEXAS A&M UNIVERSITY,,COMMERCE,TX,US,,,
37,east-carolina-university-greenville-nc-us,East Carolina University,,GREENVILLE,NC,US,,,
321,embry-riddle-aeronautical-university-daytona-beach-fl-us,Embry-Riddle Aeronautical University,,DAYTONA BEACH,FL,US,,,
150,emory-university-atlanta-ga-us,Emory University,,ATLANTA,GA,US,,,
