cycle_id,opportunity_id,cycle_year,duration_weeks,program_start,program_end,application_open,application_deadline,application_url,deadline_text,status_code,status_text,stipend_total_usd,stipend_weekly_usd,housing_status,housing_details,meals_status,meals_details,travel_status,travel_details,academic_credit_status,last_verified,data_confidence
14,14,2027,,,,,,https://www.training.nih.gov/research-training/pb/sip/,2027 application: opens mid-Nov 2026; closes mid-Feb 2027,upcoming,2027 upcoming; application window announced,,,no,NIH does not provide dormitory housing,no,Not included centrally,varies,Varies by placement/appointment; verify specific institute,no,2026-08-31,High
15,15,2027,10.0,,,,2027-02-26,https://www.stemgateway.nasa.gov/,"Summer 2027 deadline: Feb 26, 2027",upcoming,2027 upcoming; deadline posted,,,no,Housing generally arranged by intern; project/center guidance varies,no,Not centrally included,varies,Project/center dependent,varies,2026-08-31,High
17,17,2027,10.0,,,,,https://www.onr.navy.mil/education-outreach/undergraduate-graduate/nreip-naval-internship,2027 portal expected to open Sept 2026,upcoming,2027 upcoming; portal expected Sept 2026,7500.0,750.0,no,Not centrally included,no,Not centrally included,varies,Lab/opportunity dependent,no,2026-08-31,High
18,18,2027,,,,2026-10-15,2026-11-30,https://www.daad.de/rise/en/rise-germany/find-an-internship/what-applicants-need-to-know/,"2027 application: Oct 15–Nov 30, 2026",upcoming,2027 upcoming; application dates posted,,,assistance,DAAD/hosts assist with housing; arrangement varies,no,Covered from monthly stipend rather than provided meal plan,varies,Travel-related support varies by applicant/country and current DAAD rules,varies,2026-08-31,High
20,20,2027,10.0,2027-06-07,2027-08-13,2026-10-01,2027-02-01,https://www.med.upenn.edu/research-trainee-affairs/suip/,"2027 application: Oct 1, 2026–Feb 1, 2027",upcoming,2027 upcoming; dates and deadline posted,5500.0,550.0,yes,On-campus housing included,yes,Meal plan included,yes,One round-trip transportation award included,no,2026-08-31,High
22,22,2027,9.0,2027-06-07,2027-08-07,,2027-01-15,https://www.cshl.edu/education/undergraduate-research-program/,Site materials reference Jan 15; verify exact 2027 cycle deadline when application opens,unknown,2027 program dates posted; application deadline should be re-verified,7000.0,,yes,Room covered,yes,Board covered; meals provided,unknown,Not clearly specified on main page,no,2026-08-31,Medium-High
1,1,2026,8.3,2026-06-04,2026-07-31,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,4000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,partial,2026-08-31,High
2,2,2026,8.0,2026-05-30,2026-07-25,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,4000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
3,3,2026,10.0,2026-05-23,2026-07-30,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,5000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
4,4,2026,10.0,2026-05-15,2026-07-25,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,5000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
5,5,2026,,,,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,,,varies,TBD in 2026 benefit table,varies,TBD in 2026 benefit table,varies,TBD in 2026 benefit table,varies,2026-08-31,High
6,6,2026,9.3,2026-06-03,2026-08-06,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,6000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
7,7,2026,8.0,2026-06-15,2026-08-07,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,6500.0,,yes,Campus housing,partial,Partial meal support,yes,Travel support included,partial,2026-08-31,High
8,8,2026,8.5,2026-05-26,2026-07-24,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,6000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
9,9,2026,8.0,2026-05-28,2026-07-24,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,4000.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
10,10,2026,8.0,2026-06-07,2026-07-31,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,4500.0,,yes,Campus housing,yes,Meal support included,yes,Travel support included,no,2026-08-31,High
11,11,2026,9.5,2026-05-26,2026-07-31,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,6000.0,,yes,Campus housing,no,Meals not included,yes,Travel support included,no,2026-08-31,High
12,12,2026,,,,2025-11-01,2026-02-10,https://apps.btaa.org/srop/apply,2026 shared application: Nov 1–Feb 10,closed,2026 closed; 2027 cycle expected Nov–Feb,,,varies,Varies by program,varies,Varies by program,varies,Varies by program,varies,2026-08-31,High
13,13,2026,10.0,,,2025-10-23,2026-01-07,https://science.osti.gov/wdts/suli/how-to-apply,"Summer 2026 deadline: Jan 7, 2026",closed,Summer 2026 closed; monitor DOE for Summer 2027 cycle,6500.0,650.0,varies,Some labs offer direct housing; otherwise housing allowance may be available,unknown,Not centrally specified,yes,Reimbursement available for qualifying travel; limits depend on mode,no,2026-08-31,High
16,16,2026,11.0,2026-05-27,2026-08-07,,,https://www.nist.gov/surf,2027 details expected in fall 2026,closed,2026 closed; 2027 details expected fall 2026,7810.0,710.0,allowance,"Students arrange housing; limited housing assistance up to $4,500 may be available",no,Not included,yes,Travel allowance up to $500 may be available,no,2026-08-31,High
19,19,2026,8.0,,,,2026-02-03,https://app.theleadershipalliance.org/,"2026 deadline: Feb 3, 2026",closed,2026 closed; monitor for 2027,,,yes,Housing expenses covered through host program,varies,Host-specific support varies,yes,Travel support included,no,2026-08-31,High
21,21,2026,10.0,2026-06-01,2026-08-07,,2026-02-01,https://surfapplication.rockefeller.edu/,"2026 deadline: Feb 1, 2026",closed,2026 closed; monitor for 2027,6500.0,650.0,yes,Free housing for students unable to commute,no,Not listed as a provided meal plan,unknown,Not clearly specified on current program page,no,2026-08-31,High
23,23,2026,9.0,2026-06-22,2026-08-21,,,https://www.fredhutch.org/en/education-training/undergraduate-students/summer-undergraduate-research-program.html,2026 closed; 2027 deadline not yet posted,closed,2026 closed; monitor for 2027,7304.0,,no,"Housing not included; optional housing listed at approximately $3,300 for 2026",no,Meals not included,yes,Round-trip travel to Seattle reimbursed up to $450,no,2026-08-31,High
24,24,2026,9.0,2026-06-15,2026-08-14,,,https://www.fredhutch.org/en/education-training/undergraduate-students/pathways-undergraduate-researchers.html,2027 information expected November 2026,closed,2026 closed; 2027 info expected Nov 2026,,,no,Not listed as included,varies,Some program activities/meals may be covered; verify current cycle,varies,Travel and research funds may be available,no,2026-08-31,Medium-High
25,25,2026,8.0,2026-06-24,2026-08-19,,2026-02-22,https://www.fredhutch.org/en/education-training/undergraduate-students/seattlestatgrows.html,"2026 deadline: Feb 22, 2026",closed,2026 closed; monitor for 2027,5700.0,,no,Not listed as included,partial,Some group meals provided,local,Free ORCA public-transit pass; additional research-expense funding available,no,2026-08-31,High
26,26,2026,10.0,,,,2026-04-01,https://etap.nsf.gov/,2026 main page listed Apr 1; verify each cycle because site text has varied,closed,2026 closed; program reports NSF support through 2028,7000.0,700.0,yes,Apartment-style housing included,allowance,$80/week food supplement,yes,Up to $600 travel support,no,2026-08-31,High
27,27,2026,10.0,,,,,https://sites.bu.edu/physics-resources/physics-reu/,Current page requires cycle re-verification,unknown,Current page has incomplete/pending cycle information; verify before applying,7000.0,700.0,yes,Housing included,no,Not listed as provided,yes,Up to $820 travel; additional conference/return support may be available,no,2026-08-31,Medium
28,28,2026,10.0,2026-05-31,2026-08-08,2025-12-15,2026-03-15,https://www.bu.edu/photonics-programs/reu/apply/,2026 applications: Dec 15–Mar 15,closed,2026 positions filled; monitor 2027,7000.0,700.0,yes,Apartment-style housing included,unknown,Not centrally listed as meal plan,yes,Domestic travel support included,no,2026-08-31,High
29,29,2026,10.0,2026-06-08,2026-08-14,,2026-02-01,https://amgenscholars.berkeley.edu/applicants/,"2026 deadline: Feb 1, 2026",closed,"2026 closed; 2027 Amgen applications expected from Nov 1, 2026",5000.0,500.0,yes,Housing provided,allowance,Meal allowance provided,yes,Round-trip airfare provided if needed,no,2026-09-02,High
30,30,2026,8.0,2026-06-20,2026-08-15,,2026-02-01,https://biosciences.stanford.edu/pathways/ssrp-amgen-scholars-program/the-ssrp-amgen-scholars-program-application/,"2026 deadline: Feb 1, 2026",closed,2026 closed; monitor 2027 application,4800.0,600.0,yes,Housing provided,yes,Meals/flex-card support provided,yes,Travel to/from Stanford covered,no,2026-09-02,High
31,31,2026,10.0,2026-06-03,2026-08-08,,2026-02-01,https://uraf.harvard.edu/amgen-scholars,"2026 deadline: Feb 1, 2026",closed,"2026 closed; 2027 Amgen applications expected from Nov 1, 2026",,,yes,Housing provided,yes,Dining support provided,yes,Travel allowance included,no,2026-09-02,High
32,32,2026,11.0,2026-05-26,2026-08-07,2025-12-09,2026-02-06,https://harvardforest.fas.harvard.edu/education-opportunities/undergraduate-students/summer-research-program/summer-research-program-information-for-students/,"2026 application: Dec 9, 2025–Feb 6, 2026; 2027 expected Dec 2026",closed,2026 closed; 2027 application expected Dec 2026,7700.0,700.0,yes,Full room included,yes,Full board included,yes,Travel to/from Harvard Forest included,no,2026-08-31,High
33,33,2026,8.5,2026-06-22,2026-08-21,,2026-02-10,https://www.ipam.ucla.edu/programs/student-research-programs/research-in-industrial-projects-for-students-rips-2026-los-angeles/,"2026 deadline: Feb 10, 2026",closed,2026 closed; monitor for 2027,,,yes,Housing provided,yes,Meals provided/support included,yes,Travel allowance included,no,2026-08-31,High
34,34,2026,9.0,2026-05-26,2026-07-24,,2026-01-31,https://reu.dimacs.rutgers.edu/,"2026 deadline: Jan 31, 2026",closed,2026 closed; monitor for 2027,6300.0,700.0,yes,Housing included,allowance,Meal allowance included,yes,Travel support included,no,2026-08-31,High
35,35,2026,10.0,,,,,https://cos.gatech.edu/qbiosreu,Current page does not fully specify next-cycle deadline; Georgia Tech REUs often close around mid-Feb,active,Program active; next-cycle dates/deadline require update,5000.0,500.0,yes,Apartment housing provided,no,Not listed as a provided meal plan,yes,Travel allowance provided,no,2026-08-31,Medium-High
